siret;nom_officiel;nature_juridique;activite;commune;code_postal
78184375000048;AGENCE DE DEVELOPPEMENT TOURISTIQUE DE LA GIRONDE;9220;84.13Z;BORDEAUX;33000
78184375000055;AGENCE DE DEVELOPPEMENT TOURISTIQUE DE LA GIRONDE;9220;84.13Z;BORDEAUX;33000
78184854400000;;;;;
78184854400032;SOLIHA SOLIDAIRES POUR L'HABITAT TERRES-OCEAN (SOLIHA TERRES-OCEAN);9220;88.99B;BORDEAUX;33800
78184865000011;FOYER FRATERNEL ASSOCIATION;9220;88.99B;BORDEAUX;33300
78184921100029;CTRE SOCIAL FAMILIAL BX NORD;9220;88.99B;BORDEAUX;33300
78184929400280;CENTRES D'ANIMATION DE BORDEAUX - CULTIVONS LE PARTAGE;9220;94.99Z;BORDEAUX;33000
78184992200021;CAISSE DE SECOURS ET D ENTRAIDE DES SAPEURS POMPIERS DE LA CUB;9220;65.12Z;BORDEAUX;33000
78185055700088;LES PEP 33 (ADPEP);9220;88.99B;BORDEAUX;33000
78187611500010;VILLA PRIMROSE;9220;93.12Z;BORDEAUX;33200
78194749400022;MAISON DES JEUNES DE LA CULTURE MERIGNAC;9220;94.99Z;MERIGNAC;33700
78202130700015;MAISON DE SANTE PROTESTANTE BAGATELLE;9300;86.10Z;TALENCE;33400
78370700300035;JUNIA;9220;85.42Z;LILLE;59800
78422809000105;SECOURS POPULAIRE FRANCAIS;9220;88.99B;PARIS;75003
78444873000027;FEDERATION FRANCAISE D'ATHLETISME (FFA);9220;93.12Z;PARIS;75013
78882926500040;ASSOENCORE;9220;94.99Z;BRUGES;33520
78886877600022;CLUB CAP ' COM (CCC);9220;94.99Z;LYON 3EME;69003
78942066800012;YES WE CAMP;9220;71.12B;MARSEILLE;13001
78989994500016;LES BRUITS DE LA RUE;9220;94.99Z;BORDEAUX;33000
79227291600034;EMMAUS CONNECT;9220;88.99B;PARIS;75019
79493089100013;LE LIVRE VERT;5710;47.91B;EYSINES;33320
79739136400000;;;;;
79886728900018;PIMMS MEDIATION BORDEAUX;9220;94.99Z;BORDEAUX;33800
79886728900026;PIMMS MEDIATION BORDEAUX;9220;94.99Z;BORDEAUX;33800
